Marketing_Spend,R&D_Spend,Administration_Costs,Number_of_Employees,Region,Revenue,Total_Spend,Revenue_per_Employee,Profit
78035.32318,99884.43046,14796.76754,54,North America,100202.7266,192716.5212,1855.606048,-92513.79458
190389.2897,21779.5951,90742.52613,141,North America,111521.74,302911.4109,790.9343262,-191389.6709
147738.8187,32628.01997,52998.97538,219,North America,90447.56375,233365.8141,413.0025742,-142918.2503
121738.4044,135797.5864,83513.45928,366,North America,146658.7473,341049.4501,400.7069598,-194390.7028
35423.63489,94900.06835,35404.7121,71,Asia,97992.46509,165728.4153,1380.175565,-67735.95025
35418.93147,11287.58723,90074.70671,454,Asia,80277.39873,136781.2254,176.8224642,-56503.82668
16326.30437,24206.016,41974.15948,375,Europe,63035.92413,82506.47985,168.0957977,-19470.55572
173904.3484,102890.2477,6029.576891,50,Asia,109581.8929,282824.173,2191.637858,-173242.2801
122217.4273,10708.62174,91011.28776,182,Asia,80403.44422,223937.3368,441.777166,-143533.8926
143074.1527,32513.1272,13672.23429,282,Europe,88670.55214,189259.5142,314.4345821,-100588.9621
9013.976388,86822.73051,35334.79557,61,Asia,53546.69722,131171.5025,877.8147085,-77624.80525
194132.4212,106865.3277,95255.88687,395,North America,164755.9782,396253.6358,417.1037423,-231497.6576
167326.315,101274.5763,95307.67896,95,North America,129070.1857,363908.5703,1358.633534,-234838.3846
46406.12658,41397.70332,59476.59937,83,Europe,49382.6618,147280.4293,594.9718289,-97897.76747
40455.86861,109705.091,65024.53516,482,Europe,121066.6553,215185.4948,251.1756334,-94118.83947
40763.87942,43214.87225,47602.32459,127,Europe,57122.26715,131581.0763,449.7816311,-74458.80911
64327.23738,55555.95774,32855.02331,267,North America,77798.38257,152738.2184,291.37971,-74939.83586
107327.5042,114508.7967,36223.13181,350,Asia,146738.0059,258059.4327,419.2514454,-111321.4268
89229.27864,100948.6059,68889.25333,460,North America,110512.2391,259067.1379,240.243998,-148554.8988
61789.68234,128891.2775,76475.5803,122,Europe,121393.628,267156.5401,995.0297377,-145762.9121
124311.3145,102065.8049,80200.00915,331,Asia,149927.9506,306577.1286,452.9545335,-156649.178
32201.30283,89563.20447,80013.72357,298,Asia,79511.63547,201778.2309,266.8175687,-122266.5954
61968.20646,23114.4675,13664.57979,96,North America,39054.7357,98747.25375,406.8201635,-59692.51805
76440.55944,61480.21243,51969.92895,170,Europe,77352.75118,189890.7008,455.0161834,-112537.9496
93933.64692,47128.33148,10468.0822,263,North America,66063.75931,151530.0606,251.1930012,-85466.30129
158109.3125,44158.55007,57205.24382,288,Asia,101975.7507,259473.1064,354.0824677,-157497.3557
43936.38752,146221.4777,46945.39763,105,North America,95075.97616,237103.2629,905.4854872,-142027.2867
105275.7155,65033.68145,89331.89736,399,North America,139389.6393,259641.2943,349.3474669,-120251.655
120520.8409,134886.5177,38336.92619,156,Europe,136224.5803,293744.2848,873.2344891,-157519.7045
14057.83048,98359.40764,16121.36656,368,Europe,106137.7772,128538.6047,288.4178728,-22400.82748
123471.2461,121273.5825,18584.2098,97,Asia,118312.5277,263329.0384,1219.71678,-145016.5107
38252.20412,80369.19303,77343.51001,110,North America,66839.44204,195964.9072,607.6312913,-129125.4651
17685.06063,90766.54385,63730.71602,386,North America,96790.73065,172182.3205,250.7531882,-75391.58985
190032.6798,78952.47713,14606.65423,75,North America,111802.119,283591.8112,1490.69492,-171789.6922
193298.2464,37334.01829,12990.14658,341,Asia,101134.0343,243622.4113,296.5807457,-142488.377
162637.4829,111143.2961,71592.06749,306,Asia,156412.0907,345372.8465,511.1506232,-188960.7558
64399.68499,49308.13074,11912.4856,57,Europe,49654.11401,125620.3013,871.1248072,-75966.18732
24046.06223,13404.2353,83076.70563,162,Europe,42983.96937,120527.0032,265.3331443,-77543.03379
138425.4402,100366.1214,72093.01158,404,Europe,153639.7948,310884.5732,380.2965218,-157244.7784
90829.73628,34795.49512,12728.13416,302,North America,81835.92839,138353.3656,270.9798953,-56517.43717
28797.45579,141664.2018,13059.58284,229,North America,101374.5926,183521.2404,442.6838105,-82146.64783
101559.4975,143550.0008,98730.75996,256,Europe,159183.1997,343840.2583,621.8093738,-184657.0586
11705.76162,138081.0146,40555.7256,352,North America,105053.7476,190342.5018,298.4481466,-85288.75422
182317.4784,61822.21804,40211.00397,176,Europe,117408.8094,284350.7004,667.095508,-166941.891
55462.09641,12163.92631,82215.95889,105,Asia,55595.59644,149841.9816,529.4818709,-94246.38517
134191.8454,139964.5988,94988.61485,263,Europe,152443.0116,369145.0591,579.6312228,-216702.0475
65783.65984,69945.78076,98670.10106,63,Asia,84004.13877,234399.5417,1333.399028,-150395.4029
106413.2641,145331.6747,76570.9276,77,North America,115093.8663,328315.8664,1494.725536,-213222.0001
111608.5045,144906.7968,40744.66063,127,Europe,136026.0521,297259.9619,1071.071276,-161233.9098
41046.61883,129421.3238,12932.56809,265,North America,104263.1398,183400.5107,393.4458106,-79137.37092
194069.0024,51222.84489,78828.95701,435,Asia,137871.4844,324120.8043,316.9459411,-186249.3199
156150.9006,63913.682,58048.40372,414,Asia,142302.6842,278112.9863,343.7262903,-135810.3021
188202.2936,129159.134,45301.09088,203,Asia,143357.8364,362662.5185,706.1962384,-219304.6821
179491.3333,54369.08072,91103.66658,63,North America,91469.06071,324964.0806,1451.889853,-233495.0199
121590.4959,33728.98454,15563.76082,236,North America,64489.10146,170883.2413,273.2589045,-106394.1398
184765.4758,87952.17674,51799.38491,361,North America,151926.7076,324517.0375,420.8496055,-172590.3299
22256.0379,141061.6684,6078.596253,420,North America,107620.0713,169396.3026,256.238265,-61776.23125
43216.65817,107444.1715,49522.76099,56,Asia,99740.37724,200183.5907,1781.078165,-100443.2134
13819.32134,89808.56381,10348.81119,52,Asia,35501.34647,113976.6963,682.7182013,-78475.34987
68439.4145,23604.70913,16287.70205,160,Europe,68557.18301,108331.8257,428.4823938,-39774.64267
80792.07149,96101.01174,16164.99344,456,Europe,123232.2007,193058.0767,270.2460542,-69825.87597
57913.0612,148607.539,66674.9787,287,North America,132746.5525,273195.5789,462.5315418,-140449.0264
166603.8143,29611.76213,75874.26353,412,Asia,115713.4872,272089.84,280.8579786,-156376.3528
74566.89871,82566.15133,60420.03268,288,Asia,108529.313,217553.0827,376.8378924,-109023.7697
59782.22939,132832.2301,96406.39211,323,Asia,135556.5152,289020.8516,419.6796136,-153464.3364
110825.7362,113707.6065,40612.70505,343,Europe,143557.9839,265146.0478,418.5363962,-121588.0639
32480.22387,107582.2037,32142.6482,276,Europe,98706.87516,172205.0758,357.6336057,-73498.20061
161428.4112,108347.7718,87516.91718,420,Asia,163609.6103,357293.1002,389.5466912,-193683.4899
19537.37552,60328.76117,26241.60466,64,Asia,44038.59205,106107.7414,688.1030008,-62069.1493
197442.9526,51102.8582,96506.14125,241,Asia,127616.8869,345051.9521,529.530651,-217435.0652
155587.73,123310.5618,6154.675096,168,Europe,129441.4526,285052.9669,770.4848369,-155611.5143
43749.5579,123415.8753,97138.48854,77,Asia,84859.61878,264303.9217,1102.072971,-179444.303
6076.812839,131390.1246,9100.191635,251,Asia,80957.09026,146567.1291,322.5382082,-65610.03881
164014.9785,137853.6774,89658.5958,88,North America,152296.6923,391527.2517,1730.644231,-239230.5594
142837.1821,81587.93584,55131.60536,490,North America,145381.098,279556.7233,296.6961184,-134175.6253
147156.3978,80212.28126,99331.65563,322,Europe,134480.4577,326700.3347,417.641173,-192219.877
155397.7176,121761.3251,12010.67365,280,Asia,138087.2519,289169.7164,493.1687568,-151082.4645
19438.70709,100994.9503,57616.15702,135,Asia,84828.93574,178049.8144,628.362487,-93220.87867
74900.81707,108275.3628,97083.74088,175,North America,108128.0779,280259.9208,617.8747309,-172131.8429
27594.46661,121410.9737,54694.2952,349,Europe,107040.5386,203699.7355,306.7064143,-96659.19691
173305.168,134600.7479,64792.87062,74,North America,141609.951,372698.7865,1913.647986,-231088.8355
126543.1347,57319.32196,71096.12545,194,North America,90459.09871,254958.5821,466.284014,-164499.4834
69525.11485,62581.61337,48181.40115,62,North America,72068.14893,180288.1294,1162.389499,-108219.9804
17393.87831,23157.47158,64618.01761,261,North America,38795.66676,105169.3675,148.6424014,-66373.70074
65641.55273,90959.21974,60509.85963,74,Asia,94966.40399,217110.6321,1283.329784,-122144.2281
68410.7478,15031.91833,90610.011,117,Asia,62587.96053,174052.6771,534.9398336,-111464.7166
